origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Atlanta, GA","Anchorage, AK",29,6,33,0,7,42,4,109
"Atlanta, GA","Appleton, WI",39,9,27,0,15,61,2,369
"Atlanta, GA","Asheville, NC",201,15,138,0,87,321,54,2162
"Atlanta, GA","Aspen, CO",104,14,56,0,0,123,6,459
"Atlanta, GA","Augusta, GA",227,48,150,0,97,345,38,2172
"Atlanta, GA","Austin, TX",605,29,613,1,453,996,33,4311
"Atlanta, GA","Baltimore, MD",941,45,631,5,756,1341,68,6067
"Atlanta, GA","Baton Rouge, LA",127,20,75,0,64,179,17,1515
"Atlanta, GA","Birmingham, AL",331,22,193,0,143,441,26,2963
"Atlanta, GA","Bloomington/Normal, IL",52,15,56,0,49,99,7,731
"Atlanta, GA","Boise, ID",41,4,41,0,26,73,5,474
"Atlanta, GA","Boston, MA",687,32,586,1,379,1069,41,5025
"Atlanta, GA","Bozeman, MT",34,2,34,0,10,57,2,363
"Atlanta, GA","Bristol/Johnson City/Kingsport, TN",108,20,64,0,68,176,10,1428
"Atlanta, GA","Brunswick, GA",139,32,55,0,6,174,1,795
"Atlanta, GA","Buffalo, NY",174,9,116,0,108,258,21,1337
"Atlanta, GA","Burbank, CA",24,0,24,0,20,47,2,207
"Atlanta, GA","Burlington, VT",39,4,26,1,18,59,4,366
"Atlanta, GA","Cedar Rapids/Iowa City, IA",43,9,44,0,22,71,5,368
"Atlanta, GA","Charleston, SC",336,21,238,0,167,466,20,2792
"Atlanta, GA","Charleston/Dunbar, WV",179,44,72,1,6,231,7,1069
"Atlanta, GA","Charlotte Amalie, VI",69,7,107,0,26,132,2,646
"Atlanta, GA","Charlotte, NC",554,63,514,2,542,976,58,5383
"Atlanta, GA","Charlottesville, VA",77,15,50,0,64,128,8,1123
"Atlanta, GA","Chattanooga, TN",225,30,133,0,132,331,17,2392
"Atlanta, GA","Chicago, IL",1276,72,1048,5,962,2002,100,9482
"Atlanta, GA","Christiansted, VI",11,1,17,0,2,21,0,120
"Atlanta, GA","Cincinnati, OH",299,13,204,0,180,456,24,2831
"Atlanta, GA","Cleveland, OH",405,19,237,1,328,599,22,3006
"Atlanta, GA","Colorado Springs, CO",82,3,57,0,29,106,3,459
"Atlanta, GA","Columbia, SC",194,16,126,0,135,296,15,2231
"Atlanta, GA","Columbus, GA",125,33,71,0,33,185,20,1001
"Atlanta, GA","Columbus, MS",41,6,35,0,42,83,8,732
"Atlanta, GA","Columbus, OH",332,24,204,0,221,469,16,3080
"Atlanta, GA","Dallas, TX",462,19,333,1,349,681,26,3545
"Atlanta, GA","Dallas/Fort Worth, TX",1002,83,1052,7,871,1723,108,6523
"Atlanta, GA","Dayton, OH",111,7,50,1,59,156,12,1354
"Atlanta, GA","Daytona Beach, FL",140,8,92,0,74,209,18,1445
"Atlanta, GA","Denver, CO",773,31,672,2,590,1209,56,6076
"Atlanta, GA","Des Moines, IA",105,8,59,0,56,146,12,1185
"Atlanta, GA","Detroit, MI",759,44,547,11,385,1022,40,4958
"Atlanta, GA","Dothan, AL",89,20,52,0,33,129,6,766
"Atlanta, GA","Eagle, CO",18,1,17,0,4,29,0,179
"Atlanta, GA","El Paso, TX",109,5,85,0,38,135,4,714
"Atlanta, GA","Evansville, IN",112,19,55,2,37,153,9,1001
"Atlanta, GA","Fayetteville, AR",163,19,123,0,98,254,11,1817
"Atlanta, GA","Fayetteville, NC",86,20,49,0,34,123,7,871
"Atlanta, GA","Fort Lauderdale, FL",1277,50,1147,16,813,1879,92,7702
"Atlanta, GA","Fort Myers, FL",424,19,327,2,284,653,51,3290
"Atlanta, GA","Fort Wayne, IN",169,42,62,0,10,213,9,1019
"Atlanta, GA","Fresno, CA",46,4,39,0,15,65,4,204
"Atlanta, GA","Gainesville, FL",158,6,78,0,78,224,18,1692
"Atlanta, GA","Grand Rapids, MI",164,13,89,0,85,222,14,1406
"Atlanta, GA","Green Bay, WI",50,5,35,0,39,79,2,366
"Atlanta, GA","Greensboro/High Point, NC",242,21,133,0,128,335,17,2517
"Atlanta, GA","Greer, SC",292,20,151,0,210,426,22,3123
"Atlanta, GA","Gulfport/Biloxi, MS",101,15,53,0,78,155,15,1240
"Atlanta, GA","Harrisburg, PA",81,11,48,0,46,119,9,996
"Atlanta, GA","Hartford, CT",276,13,194,0,131,369,17,2130
"Atlanta, GA","Hayden, CO",7,0,5,0,5,10,0,109
"Atlanta, GA","Hilton Head, SC",25,6,20,0,19,34,4,189
"Atlanta, GA","Honolulu, HI",43,3,60,0,4,72,0,366
"Atlanta, GA","Houston, TX",1015,55,944,3,683,1563,99,7800
"Atlanta, GA","Huntsville, AL",227,20,107,1,118,315,29,2407
"Atlanta, GA","Indianapolis, IN",381,17,245,0,246,551,15,3246
"Atlanta, GA","Islip, NY",5,0,6,0,9,11,2,43
