month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Bakersfield, CA","Denver, CO",4,0,31
1,"Bakersfield, CA","Phoenix, AZ",11,0,80
1,"Bakersfield, CA","San Francisco, CA",2,0,37
1,"Baltimore, MD","Albany, NY",50,2,145
1,"Baltimore, MD","Albuquerque, NM",9,1,31
1,"Baltimore, MD","Asheville, NC",0,0,2
1,"Baltimore, MD","Atlanta, GA",103,8,426
1,"Baltimore, MD","Austin, TX",23,5,102
1,"Baltimore, MD","Birmingham, AL",5,1,28
1,"Baltimore, MD","Boston, MA",72,16,288
1,"Baltimore, MD","Buffalo, NY",42,15,142
1,"Baltimore, MD","Charleston, SC",26,1,88
1,"Baltimore, MD","Charlotte, NC",53,3,211
1,"Baltimore, MD","Chicago, IL",84,30,350
1,"Baltimore, MD","Cincinnati, OH",10,3,60
1,"Baltimore, MD","Cleveland, OH",26,4,79
1,"Baltimore, MD","Columbus, OH",24,1,80
1,"Baltimore, MD","Dallas, TX",36,6,132
1,"Baltimore, MD","Dallas/Fort Worth, TX",35,2,114
1,"Baltimore, MD","Denver, CO",47,9,239
1,"Baltimore, MD","Detroit, MI",44,3,151
1,"Baltimore, MD","Fort Lauderdale, FL",117,10,342
1,"Baltimore, MD","Fort Myers, FL",41,2,119
1,"Baltimore, MD","Grand Rapids, MI",6,3,31
1,"Baltimore, MD","Greer, SC",12,0,31
1,"Baltimore, MD","Hartford, CT",46,1,130
1,"Baltimore, MD","Houston, TX",48,4,166
1,"Baltimore, MD","Indianapolis, IN",22,6,89
1,"Baltimore, MD","Islip, NY",43,2,112
1,"Baltimore, MD","Jackson/Vicksburg, MS",6,1,27
1,"Baltimore, MD","Jacksonville, FL",32,2,121
1,"Baltimore, MD","Kansas City, MO",12,2,47
1,"Baltimore, MD","Las Vegas, NV",34,3,143
1,"Baltimore, MD","Los Angeles, CA",24,14,124
1,"Baltimore, MD","Louisville, KY",16,2,68
1,"Baltimore, MD","Manchester, NH",38,3,121
1,"Baltimore, MD","Memphis, TN",6,0,20
1,"Baltimore, MD","Miami, FL",75,7,248
1,"Baltimore, MD","Milwaukee, WI",12,5,59
1,"Baltimore, MD","Minneapolis, MN",11,1,90
1,"Baltimore, MD","Myrtle Beach, SC",20,0,73
