month,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
2,"Beaumont/Port Arthur, TX",1,1,1,0,0,2,0,58
2,"Belleville, IL",9,1,9,0,5,13,0,55
2,"Bellingham, WA",9,0,9,0,18,23,2,200
2,"Bemidji, MN",5,1,3,0,0,6,2,58
2,"Bend/Redmond, OR",32,11,37,1,23,70,8,476
2,"Bethel, AK",6,4,7,0,4,15,2,58
2,"Billings, MT",21,5,14,0,11,34,0,248
2,"Binghamton, NY",0,0,0,0,1,1,0,29
2,"Birmingham, AL",111,3,101,3,96,177,3,1228
2,"Bishop, CA",11,1,8,0,4,18,7,50
2,"Bismarck/Mandan, ND",19,8,17,0,6,36,0,259
2,"Bloomington/Normal, IL",9,1,6,0,5,14,0,133
2,"Boise, ID",149,17,84,0,93,230,8,1480
2,"Boston, MA",1001,33,985,14,871,1685,105,10117
2,"Bozeman, MT",78,10,41,0,55,113,6,802
2,"Brainerd, MN",4,2,0,0,0,5,0,50
2,"Bristol/Johnson City/Kingsport, TN",10,2,6,0,2,16,0,161
2,"Brownsville, TX",5,2,3,0,3,7,0,108
2,"Brunswick, GA",8,2,3,0,0,9,0,58
2,"Buffalo, NY",176,8,123,0,136,260,10,1573
2,"Burbank, CA",211,12,193,0,224,373,34,2063
2,"Burlington, VT",27,5,20,1,22,40,3,472
2,"Butte, MT",2,1,0,0,0,3,0,54
2,"Casper, WY",1,0,0,0,0,1,0,29
2,"Cedar City, UT",3,0,1,0,0,3,0,50
2,"Cedar Rapids/Iowa City, IA",66,5,35,0,38,95,2,561
2,"Champaign/Urbana, IL",6,2,6,0,5,14,0,116
2,"Charleston, SC",146,8,116,1,113,241,7,1706
2,"Charleston/Dunbar, WV",27,5,18,0,11,39,1,252
2,"Charlotte Amalie, VI",40,10,74,3,30,100,10,515
2,"Charlotte, NC",1113,99,1113,23,1255,2142,30,15764
2,"Charlottesville, VA",12,1,9,0,7,22,5,237
2,"Chattanooga, TN",31,0,26,1,32,56,1,498
2,"Cheyenne, WY",4,3,5,0,2,10,2,54
2,"Chicago, IL",1567,151,1364,24,1239,2771,92,24789
2,"Christiansted, VI",13,1,18,0,8,25,1,137
2,"Cincinnati, OH",235,15,220,2,222,401,14,3006
2,"Clarksburg/Fairmont, WV",2,0,1,0,1,2,0,13
2,"Cleveland, OH",257,11,241,1,226,448,17,2972
2,"College Station/Bryan, TX",3,1,4,0,3,7,0,87
2,"Colorado Springs, CO",90,12,76,0,72,150,10,855
2,"Columbia, MO",10,2,8,0,8,17,0,129
2,"Columbia, SC",49,1,21,1,35,67,3,483
2,"Columbus, GA",13,7,5,0,0,21,0,78
2,"Columbus, MS",2,0,2,0,0,2,0,58
2,"Columbus, OH",271,12,275,6,239,452,15,3101
2,"Concord, NC",4,4,10,0,11,16,2,59
2,"Cordova, AK",3,0,6,0,3,9,1,58
2,"Corpus Christi, TX",15,1,11,0,12,21,0,314
2,"Dallas, TX",399,9,323,6,450,656,15,5522
2,"Dallas/Fort Worth, TX",1887,285,2068,32,1743,3604,36,22675
2,"Dayton, OH",41,4,40,1,35,74,1,557
2,"Daytona Beach, FL",22,1,19,0,9,29,0,229
2,"Deadhorse, AK",2,0,4,0,2,5,1,46
2,"Decatur, IL",4,0,0,0,3,7,0,79
2,"Denver, CO",1706,221,2125,10,1680,3709,210,21763
2,"Des Moines, IA",111,7,88,0,106,194,2,1177
2,"Detroit, MI",572,74,504,5,367,976,22,9097
2,"Devils Lake, ND",4,3,4,0,1,8,4,54
2,"Dickinson, ND",4,2,2,0,1,7,3,52
2,"Dodge City, KS",2,0,3,0,4,7,1,50
2,"Dothan, AL",3,0,4,0,1,6,0,58
2,"Duluth, MN",14,3,12,0,4,21,0,136
2,"Durango, CO",24,4,16,0,12,38,3,255
2,"Eagle, CO",62,9,51,1,31,106,5,600
2,"El Paso, TX",107,5,76,0,118,189,2,1158
2,"Elko, NV",1,2,1,0,0,3,0,29
2,"Elmira/Corning, NY",8,3,3,0,1,12,0,88
2,"Escanaba, MI",4,0,1,0,0,4,0,50
2,"Eugene, OR",52,6,37,0,41,87,2,538
2,"Evansville, IN",12,1,7,0,6,15,0,145
2,"Everett, WA",4,0,21,0,15,29,1,116
2,"Fairbanks, AK",9,0,12,0,7,20,1,187
2,"Fargo, ND",31,11,25,0,10,53,7,514
2,"Fayetteville, AR",80,5,64,1,60,131,1,922
2,"Fayetteville, NC",7,0,6,0,3,10,0,101
2,"Flagstaff, AZ",11,3,6,0,0,14,1,125
2,"Flint, MI",24,1,21,0,27,38,1,195
2,"Fort Dodge, IA",2,0,1,0,1,3,2,50
2,"Fort Lauderdale, FL",890,42,1000,16,743,1580,48,8113
2,"Fort Myers, FL",347,11,385,6,301,627,11,3778
2,"Fort Smith, AR",6,1,2,0,1,8,0,87
2,"Fort Wayne, IN",22,5,16,1,12,37,0,311
2,"Fresno, CA",86,9,92,0,62,150,6,839
2,"Gainesville, FL",5,1,6,0,5,9,0,186
2,"Garden City, KS",8,0,2,0,2,8,0,58
2,"Gillette, WY",7,1,2,0,3,10,1,58
2,"Grand Forks, ND",11,4,6,0,1,15,3,110
2,"Grand Island, NE",1,1,1,0,2,4,0,76
2,"Grand Junction, CO",29,4,18,0,10,40,2,290
2,"Grand Rapids, MI",132,11,123,1,133,249,7,1499
2,"Great Falls, MT",13,3,5,0,5,20,3,211
2,"Green Bay, WI",18,9,12,0,5,29,4,352
2,"Greensboro/High Point, NC",69,5,48,1,61,114,7,901
2,"Greer, SC",85,3,54,1,71,129,6,1165
2,"Guam, TT",2,0,4,0,6,8,0,58
2,"Gulfport/Biloxi, MS",12,3,12,0,7,25,0,239
2,"Gunnison, CO",9,2,5,0,3,14,1,89
2,"Hagerstown, MD",3,1,3,0,3,4,0,17
2,"Hancock/Houghton, MI",3,1,1,0,2,6,3,58
2,"Harlingen/San Benito, TX",21,1,9,0,18,28,0,323
2,"Harrisburg, PA",24,1,21,0,22,39,2,359
2,"Hartford, CT",218,5,201,0,170,335,12,1588
2,"Hattiesburg/Laurel, MS",5,0,2,0,3,8,0,50
2,"Hayden, CO",55,9,64,0,44,102,5,426
2,"Hays, KS",7,1,2,0,2,9,0,58
2,"Helena, MT",11,3,4,0,1,15,1,145
2,"Hibbing, MN",5,2,1,0,0,7,1,50
2,"Hilo, HI",56,4,4,0,52,70,2,549
2,"Hilton Head, SC",7,0,8,1,6,11,0,73
2,"Honolulu, HI",658,48,382,6,423,955,35,4779
2,"Houston, TX",869,45,708,12,750,1445,42,12665
2,"Huntsville, AL",46,6,31,5,35,75,1,668
2,"Idaho Falls, ID",12,3,9,0,8,21,2,188
2,"Indianapolis, IN",300,24,254,12,273,475,17,3435
2,"International Falls, MN",3,5,1,0,0,8,2,50
