week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Rock Springs, WY",0,1,0,0,1,2,0,13
1,"Rockford, IL",4,0,5,0,4,9,0,27
1,"Roswell, NM",6,0,2,0,0,5,0,19
1,"Sacramento, CA",105,4,68,0,120,186,8,1298
1,"Saginaw/Bay City/Midland, MI",6,0,3,0,1,6,0,38
1,"Saipan, TT",0,0,0,0,0,0,0,9
1,"Salina, KS",1,0,0,0,0,1,0,17
1,"Salt Lake City, UT",381,54,362,0,200,574,4,2793
1,"San Angelo, TX",2,0,1,0,1,4,1,26
1,"San Antonio, TX",79,5,51,1,90,131,4,1002
1,"San Diego, CA",188,6,145,9,236,353,24,2263
1,"San Francisco, CA",326,15,257,0,266,544,64,3249
1,"San Jose, CA",73,2,56,1,99,141,7,1191
1,"San Juan, PR",224,1,224,5,193,322,15,1062
1,"San Luis Obispo, CA",10,1,9,0,9,20,0,128
1,"Sanford, FL",51,6,38,0,36,72,1,313
1,"Santa Ana, CA",80,2,78,0,95,154,4,1077
1,"Santa Barbara, CA",12,1,14,0,23,34,4,164
1,"Santa Fe, NM",5,3,4,0,4,11,0,44
1,"Santa Maria, CA",1,0,0,0,1,2,0,3
1,"Santa Rosa, CA",6,0,5,0,6,15,1,93
1,"Sarasota/Bradenton, FL",64,5,43,1,83,114,12,511
1,"Sault Ste. Marie, MI",4,2,2,0,0,6,0,16
1,"Savannah, GA",47,1,26,0,36,62,3,413
1,"Scottsbluff, NE",0,0,0,0,0,0,0,14
1,"Scranton/Wilkes-Barre, PA",5,3,3,0,6,8,0,34
1,"Seattle, WA",358,27,259,1,221,582,88,3632
1,"Sheridan, WY",2,0,1,0,0,2,0,17
1,"Shreveport, LA",7,3,6,0,11,15,0,88
1,"Sioux City, IA",2,0,0,0,1,3,1,17
1,"Sioux Falls, SD",14,6,19,0,19,32,0,164
1,"Sitka, AK",1,0,1,0,2,3,0,26
1,"South Bend, IN",23,0,12,0,11,29,0,154
1,"Spokane, WA",41,7,46,4,33,71,4,385
1,"Springfield, IL",0,1,1,0,1,1,0,6
1,"Springfield, MO",19,5,27,1,19,39,2,203
1,"St. Cloud, MN",1,0,2,0,1,3,0,6
1,"St. George, UT",5,0,4,0,0,6,0,65
1,"St. Louis, MO",156,3,126,0,155,257,9,1469
1,"St. Petersburg, FL",27,10,35,0,44,66,4,271
1,"State College, PA",1,0,1,0,2,3,3,20
1,"Stillwater, OK",1,0,0,0,0,1,0,18
1,"Stockton, CA",1,3,4,0,8,7,0,18
1,"Sun Valley/Hailey/Ketchum, ID",4,0,3,0,1,5,0,80
1,"Syracuse, NY",30,6,41,0,21,50,8,284
1,"Tallahassee, FL",9,0,6,1,5,15,0,121
1,"Tampa, FL",257,5,193,0,250,391,10,2107
1,"Texarkana, AR",0,1,1,0,1,2,0,25
1,"Toledo, OH",3,0,5,0,4,5,0,18
1,"Traverse City, MI",6,1,10,0,4,14,0,80
1,"Trenton, NJ",5,0,10,0,12,17,2,65
1,"Tucson, AZ",29,1,19,0,24,48,2,483
1,"Tulsa, OK",20,1,29,0,23,48,0,370
1,"Twin Falls, ID",0,0,0,0,0,0,0,17
1,"Tyler, TX",5,1,1,0,1,7,0,26
1,"Valdosta, GA",1,0,0,0,0,1,0,18
1,"Valparaiso, FL",18,2,10,0,16,27,2,185
1,"Vernal, UT",0,0,0,0,0,0,0,11
